consectetur,MITx/6.00x/2012_Fall
venenatis.,MITx/6.00x/2012_Fall
lacinia,MITx/6.00x/2012_Fall
faucibus.,MITx/6.002x/2012_Fall
bibendum,BerkeleyX/CS188.1x/2012_Fall
porta,MITx/6.00x/2012_Fall
sodales.,BerkeleyX/CS188/fa12
interdum,MITx/6.002x/2012_Fall
ornare,MITx/6.00x/2012_Fall
notpresent1,MITx/6.002x/2012_Fall
dictum,BerkeleyX/CS188.1x/2012_Fall
pretium,MITx/6.002x/2012_Fall
sodales,BerkeleyX/CS188.1x/2012_Fall
massa,MITx/6.002x/2012_Fall
accumsan,MITx/6.002x/2012_Fall
luctus,MITx/6.002x/2012_Fall
volutpat,MITx/6.00x/2012_Fall
ultrices,MITx/6.00x/2012_Fall
amet,MITx/6.002x/2012_Fall
notpresent2,BerkeleyX/CS188/fa12
mollis,MITx/6.00x/2012_Fall
feugiat.,BerkeleyX/CS188/fa12
rhoncus.,BerkeleyX/CS188.1x/2012_Fall
augue,MITx/6.002x/2012_Fall
rutrum,MITx/6.00x/2012_Fall
porttitor,BerkeleyX/CS169.1x/2012_Fall
adipiscing,MITx/6.00x/2012_Fall
eleifend,MITx/6.00x/2012_Fall
eleifend,BerkeleyX/CS188.1x/2012_Fall
notpresent3,BerkeleyX/CS169.1x/2012_Fall
suscipit,BerkeleyX/CS188.1x/2012_Fall
ornare,MITx/6.00x/2012_Fall
mauris,BerkeleyX/CS188/fa12
laoreet.,MITx/6.002x/2012_Fall
interdum,BerkeleyX/CS188.1x/2012_Fall
varius.,BerkeleyX/CS169.1x/2012_Fall
volutpat,MITx/6.002x/2012_Fall
molestie,MITx/6.002x/2012_Fall
facilisis,MITx/6.00x/2012_Fall
notpresent4,BerkeleyX/CS188.1x/2012_Fall
mattis,MITx/6.00x/2012_Fall
imperdiet,BerkeleyX/CS188.1x/2012_Fall
sollicitudin,BerkeleyX/CS188/fa12
aliquet,BerkeleyX/CS188/fa12
sollicitudin,MITx/6.00x/2012_Fall
commodo,MITx/6.002x/2012_Fall
pellentesque,BerkeleyX/CS188/fa12
tristique,BerkeleyX/CS188/fa12
tortor,BerkeleyX/CS188.1x/2012_Fall
notpresent5,BerkeleyX/CS188/fa12
